date,Rt,Rt_lower,Rt_upper
20/06/2020,0.922502376803413,0.772728763970711,1.09048614540744
21/06/2020,0.898683113415591,0.748922148482654,1.06719580853258
22/06/2020,0.925745320248325,0.772061500718561,1.09858943400409
23/06/2020,0.853812956622924,0.705124417840127,1.02207084746367
24/06/2020,0.849444060723965,0.699620306941561,1.0192741839088
25/06/2020,0.868206157206243,0.714410094226068,1.04264028040991
26/06/2020,0.880296529781577,0.722986938893996,1.05892738682928
27/06/2020,0.889853244221471,0.729411102623792,1.07226365223558
28/06/2020,0.870426456209218,0.709828230657777,1.05360153935882
29/06/2020,0.90315857612573,0.737302076729101,1.09220604985214
30/06/2020,0.974587307179077,0.799653005121692,1.17335202694745
01/07/2020,0.927046690705034,0.755188423705448,1.12319643881889
02/07/2020,0.880432108756578,0.712331785998649,1.07311136707832
